Date (Guam),Weekday,Weekend,Billable Hours,Requests
2026-09-01,Tue,0,12.9555,3216
2026-09-02,Wed,0,17.6175,3216
2026-09-03,Thu,0,13.0001,22851
2026-09-04,Fri,0,8.7194,13034
2026-09-05,Sat,1,0.5336,539
2026-09-06,Sun,1,0.7280,318
2026-09-07,Mon,0,4.9490,497
2026-09-08,Tue,0,12.4999,6680
2026-09-09,Wed,0,3.7383,7988
2026-09-10,Thu,0,3.2882,5472
2026-09-11,Fri,0,1.6897,5289
2026-09-12,Sat,1,0.1939,529
2026-09-13,Sun,1,0.1599,317
2026-09-14,Mon,0,1.2806,5131
2026-09-15,Tue,0,0.1739,1046
2026-09-16,Wed,0,0.7542,2741
