Date (Guam),Hour (Guam),Billable Seconds,Requests,Billable Hours
2026-09-01,00,256.996,42,0.0714
2026-09-01,01,162.505,22,0.0451
2026-09-01,02,158.5,30,0.0440
2026-09-01,03,137.9,23,0.0383
2026-09-01,04,204.3,36,0.0567
2026-09-01,05,239.4,43,0.0665
2026-09-01,06,410.2,44,0.1139
2026-09-01,07,1289.9,138,0.3583
2026-09-01,08,1576,262,0.4378
2026-09-01,09,2455.7,159,0.6821
2026-09-01,10,2278.8,232,0.6330
2026-09-01,11,3357.9,206,0.9328
2026-09-01,12,3235,202,0.8986
2026-09-01,13,3477.3,187,0.9659
2026-09-01,14,3302.8,205,0.9174
2026-09-01,15,1932.9,115,0.5369
2026-09-01,16,1742.77,208,0.4841
2026-09-01,17,728.5,71,0.2024
2026-09-01,18,2248.32,135,0.6245
2026-09-01,19,3571.01,152,0.9919
2026-09-01,20,3603,154,1.0008
2026-09-01,21,3569.6,191,0.9916
2026-09-01,22,3098.9,171,0.8608
2026-09-01,23,3601.5,188,1.0004
2026-09-02,00,3576,180,0.9933
2026-09-02,01,3519.4,112,0.9776
2026-09-02,02,3562.4,123,0.9896
2026-09-02,03,3571.8,120,0.9922
2026-09-02,04,3494.27,74,0.9706
2026-09-02,05,2436.43,89,0.6768
2026-09-02,06,346,27,0.0961
2026-09-02,07,2042.5,132,0.5674
2026-09-02,08,2015.2,212,0.5598
2026-09-02,09,2427,118,0.6742
2026-09-02,10,1542,78,0.4283
2026-09-02,11,2599.4,157,0.7221
2026-09-02,12,1681.1,268,0.4670
2026-09-02,13,2277.4,151,0.6326
2026-09-02,14,1670.2,252,0.4639
2026-09-02,15,1662.6,127,0.4618
2026-09-02,16,2812.6,97,0.7813
2026-09-02,17,3592.4,103,0.9979
2026-09-02,18,3594.4,78,0.9984
2026-09-02,19,3602.1,111,1.0006
2026-09-02,20,3602.1,215,1.0006
2026-09-02,21,3528.5,138,0.9801
2026-09-02,22,3318.36,82,0.9218
2026-09-02,23,948.839,172,0.2636
2026-09-03,00,1816.5,53,0.5046
2026-09-03,01,1214.3,64,0.3373
2026-09-03,02,3066.8,86,0.8519
2026-09-03,03,3168.4,32,0.8801
2026-09-03,04,2420.6,37,0.6724
2026-09-03,05,2033.8,48,0.5649
2026-09-03,06,1187.8,65,0.3299
2026-09-03,07,2238.5,110,0.6218
2026-09-03,08,3411.8,3664,0.9477
2026-09-03,09,2954.4,1778,0.8207
2026-09-03,10,3323.2,300,0.9231
2026-09-03,11,2466.7,3988,0.6852
2026-09-03,12,2415.9,842,0.6711
2026-09-03,13,3042.2,206,0.8451
2026-09-03,14,1752.1,3252,0.4867
2026-09-03,15,1833.5,6632,0.5093
2026-09-03,16,3588.9,83,0.9969
2026-09-03,17,1450.3,559,0.4029
2026-09-03,18,826.6,647,0.2296
2026-09-03,19,1594.3,251,0.4429
2026-09-03,20,586.3,65,0.1629
2026-09-03,21,80.3,21,0.0223
2026-09-03,22,103.2,21,0.0287
2026-09-03,23,224.1,47,0.0622
2026-09-04,00,3380.8,64,0.9391
2026-09-04,01,1273.2,21,0.3537
2026-09-04,02,544.3,17,0.1512
2026-09-04,03,791.9,15,0.2200
2026-09-04,04,392,17,0.1089
2026-09-04,05,631.1,40,0.1753
2026-09-04,06,548.4,28,0.1523
2026-09-04,07,791.6,88,0.2199
2026-09-04,08,2375.6,4631,0.6599
2026-09-04,09,3201.69,1726,0.8894
2026-09-04,10,1499.57,1290,0.4165
2026-09-04,11,1900.17,536,0.5278
2026-09-04,12,1788.38,2552,0.4968
2026-09-04,13,162.114,23,0.0450
2026-09-04,14,2601.16,1415,0.7225
2026-09-04,15,1358.74,432,0.3774
2026-09-04,16,62.7845,6,0.0174
2026-09-04,17,72.8,7,0.0202
2026-09-04,18,64.9,6,0.0180
2026-09-04,19,64.6,6,0.0179
2026-09-04,20,1598.3,39,0.4440
2026-09-04,21,3483.9,30,0.9678
2026-09-04,22,2753,39,0.7647
2026-09-04,23,48.9046,6,0.0136
2026-09-05,00,72.2012,6,0.0201
2026-09-05,01,64.0743,6,0.0178
2026-09-05,02,61,6,0.0169
2026-09-05,03,133.1,12,0.0370
2026-09-05,04,66.6,6,0.0185
2026-09-05,05,65.3,6,0.0181
2026-09-05,06,63.8,6,0.0177
2026-09-05,07,63.9,6,0.0177
2026-09-05,08,55.7605,6,0.0155
2026-09-05,09,58.1175,6,0.0161
2026-09-05,10,71.9373,6,0.0200
2026-09-05,11,114.045,41,0.0317
2026-09-05,12,40.9204,9,0.0114
2026-09-05,13,44.1932,6,0.0123
2026-09-05,14,101.722,88,0.0283
2026-09-05,15,64.9444,6,0.0180
2026-09-05,16,64.4,6,0.0179
